Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url,Original_Language_num,Genre_num
11/30/1991 0:00,Dragon Ball: The Magic Begins,live action version popular japanese animated series dragon ball ,23.187,71,4,zh,Action Adventure Fantasy,https://image.tmdb.org/t/p/original/i7fQx8ZNRYhUjCDWBA5ujQw3qun.jpg,42,0.223976349
12/10/1991 0:00,Bugsy,york gangster bugsy siegel takes brief business trip angeles sharp dressing womanizer foul temper siegel hesitate kill maim crossing life movies strong willed virginia hill detain family wait trip gambling joint spot desert known vegas gives idea ,15.476,283,6.4,en,Crime Drama Mystery,https://image.tmdb.org/t/p/original/oFV3VWZ0LVwnoThysAE0MfUuxck.jpg,8,0.220664817
12/11/1991 0:00,Critters 3,appears cross critters towering inferno residents shoddy apartment block chased roof hoards eponymous hairy horrors ,18.003,258,5.1,en,Comedy Horror Science Fiction,https://image.tmdb.org/t/p/original/frjklbq23pRgBjhekEq6drQkrZm.jpg,8,0.291110639
12/20/1991 0:00,Raise the Red Lantern,china father death year songlian forced marry older lord powerful family wives separate house great castle fierce competition attention privileges gained competition gets hand ,24.794,507,8,zh,Drama,https://image.tmdb.org/t/p/original/j6MGZpg55cTqlHHwahBtzI2qQg1.jpg,42,0.09193507
12/20/1991 0:00,JFK,follows investigation assassination president john kennedy orleans district attorney garrison ,21.337,1571,7.6,en,Drama Thriller History,https://image.tmdb.org/t/p/original/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg,8,0.254823496
12/20/1991 0:00,Father of the Bride,george banks ordinary middle class year daughter annie decided marry upper class family george think life daughter wife tries make happy annie wedding takes place foreign wedding planner takes ceremony becomes slightly insane ,14.653,1032,6.4,en,Comedy Romance,https://image.tmdb.org/t/p/original/g6OTK7l6EX2JP5r00O5fG6BZJlh.jpg,8,0.200134815
12/27/1991 0:00,Fried Green Tomatoes,personality crisis southern housewife evelyn couch meets ninny outgoing woman tells story idgie threadgoode ruth jamison young women experienced hardships love whistle stop alabama ,18.993,1033,7.7,en,Drama Comedy,https://image.tmdb.org/t/p/original/g71l1vbJwyAAYk8zKCkIQQ58qcb.jpg,8,0.186251123
12/27/1991 0:00,Naked Lunch,blank faced killer bill dead eyed wife joan bill pest poisons lounging beat poet pals meeting devilish benway bill gets drug made centipede indulging accidentally kills joan takes orders typewriter turned cockroach ends constantly mutating mediterranean city learns friends published work remember writing ,14.107,749,7,en,Crime Drama,https://image.tmdb.org/t/p/original/oKhneavHiAFCJg95LmvWNGnLXnO.jpg,8,0.173045769
1/6/1992 0:00,Tokyo Decadence,submissive hooker goes trade suffering abuse hands japanese salarymen yakuza types unhappy work apparently trying find sort appeasement fact lover married ,13.53,64,5.9,ja,Drama,https://image.tmdb.org/t/p/original/cYidKmywuzGFuYbKntEXz2qKLQr.jpg,21,0.09193507
1/10/1992 0:00,The Hand that Rocks the Cradle,suburban family chooses seemingly sweet peyton flanders newborn nanny infant mother claire bartel realize peyton intentions destroy claire replace family nail biting suspense builds quickly chilling psychological thriller deception bitter revenge ,17.211,666,6.8,en,Drama Thriller,https://image.tmdb.org/t/p/original/8Ktj8PuupTIFIUIiuOqxfKKg2c2.jpg,8,0.173413785
